,seed,Unnamed: 0,reward,actions,runtime,true_reward,expected_reward
4453,9453,4453499.5,3.5010975947785976,4.933,0.002765625,3.4138896708150543,3.5010975947785976
4454,9454,4454499.5,3.509365145731218,4.915,0.002796875,3.292672891778514,3.509365145731218
4455,9455,4455499.5,3.5097269956673736,4.941,0.002453125,3.4801670365650605,3.5097269956673736
4456,9456,4456499.5,3.484763162237096,4.907,0.002890625,2.857286078284771,3.484763162237096
4457,9457,4457499.5,3.4913085792433405,4.92,0.00265625,3.3168937535547234,3.4913085792433405
4458,9458,4458499.5,3.533621665863721,4.916,0.00246875,3.7716521619748398,3.533621665863721
4459,9459,4459499.5,3.504821405237627,4.936,0.00265625,3.680539707769427,3.504821405237627
4460,9460,4460499.5,3.522986652584265,4.916,0.003140625,3.8714533697221225,3.522986652584265
4461,9461,4461499.5,3.5245714175939202,4.909,0.00296875,3.859246825647577,3.5245714175939202
4462,9462,4462499.5,3.504816516365086,4.938,0.002890625,3.5429976315722986,3.504816516365086
4463,9463,4463499.5,3.4988285856683903,4.913,0.00346875,3.4430640353146846,3.4988285856683903
4464,9464,4464499.5,3.5019721379326745,4.941,0.002625,3.0490891723582565,3.5019721379326745
4465,9465,4465499.5,3.491131566422837,4.897,0.00275,3.223021377587139,3.491131566422837
4466,9466,4466499.5,3.5452835407405567,4.918,0.0025,3.6438773196724004,3.5452835407405567
4467,9467,4467499.5,3.5103484284316218,4.919,0.002671875,3.5640512902367703,3.5103484284316218
4468,9468,4468499.5,3.5448927662621417,4.894,0.002578125,3.625867053509754,3.5448927662621417
4469,9469,4469499.5,3.5196073918381363,4.957,0.002859375,3.362959086083541,3.5196073918381363
4470,9470,4470499.5,3.504100004540905,4.945,0.0026875,3.1014236470772785,3.504100004540905
4471,9471,4471499.5,3.4944771599571363,4.897,0.00321875,3.2195254139259917,3.4944771599571363
4472,9472,4472499.5,3.567356807631655,4.908,0.003359375,3.8885299826869235,3.567356807631655
4473,9473,4473499.5,3.541425805471871,4.906,0.0029375,3.9309021451723405,3.541425805471871
4474,9474,4474499.5,3.536181570666695,4.92,0.00271875,3.7098045499298364,3.536181570666695
4475,9475,4475499.5,3.524481255665022,4.925,0.0029375,3.4643670301860827,3.524481255665022
4476,9476,4476499.5,3.504191778092375,4.929,0.002765625,3.5631389111953835,3.504191778092375
4477,9477,4477499.5,3.509311466255536,4.88,0.00275,3.4514803312962226,3.509311466255536
4478,9478,4478499.5,3.551257794424331,4.891,0.002546875,3.7148322788616066,3.551257794424331
4479,9479,4479499.5,3.5345021365295133,4.895,0.00265625,3.7171273303003227,3.5345021365295133
4480,9480,4480499.5,3.517417255320736,4.908,0.00278125,3.698383158261803,3.517417255320736
4481,9481,4481499.5,3.5002085247482753,4.933,0.00290625,3.5934734925449336,3.5002085247482753
4482,9482,4482499.5,3.5046583697818603,4.919,0.002625,3.414504903261308,3.5046583697818603
4483,9483,4483499.5,3.509111064317957,4.921,0.00303125,3.500472177191698,3.509111064317957
4484,9484,4484499.5,3.5394083697143053,4.889,0.003015625,4.185278971337504,3.5394083697143053
4485,9485,4485499.5,3.5410749254062646,4.912,0.002765625,3.707474963995093,3.5410749254062646
4486,9486,4486499.5,3.510130244016889,4.908,0.00259375,3.320546487044799,3.510130244016889
4487,9487,4487499.5,3.533953396997044,4.912,0.00271875,3.889250187182721,3.533953396997044
4488,9488,4488499.5,3.5698868107426747,4.944,0.0028125,4.191907045838539,3.5698868107426747
4489,9489,4489499.5,3.48995549802402,4.927,0.002453125,3.067682232591201,3.48995549802402
4490,9490,4490499.5,3.4935348214868784,4.91,0.002875,2.9069414676907748,3.4935348214868784
4491,9491,4491499.5,3.519539358934356,4.891,0.002671875,3.3420869621944047,3.519539358934356
4492,9492,4492499.5,3.515813595518179,4.921,0.002765625,3.7154244232731295,3.515813595518179
4493,9493,4493499.5,3.5423362254777353,4.918,0.002828125,4.060502352579982,3.5423362254777353
4494,9494,4494499.5,3.5208873129618015,4.922,0.00290625,3.516256802710324,3.5208873129618015
4495,9495,4495499.5,3.5109921622649756,4.923,0.0026875,3.4848514031031237,3.5109921622649756
4496,9496,4496499.5,3.5065554595746535,4.934,0.002734375,3.384400294205943,3.5065554595746535
4497,9497,4497499.5,3.49159866650379,4.93,0.00271875,3.284469069391103,3.49159866650379
4498,9498,4498499.5,3.5040380194749834,4.943,0.002859375,3.3323134055003636,3.5040380194749834
4499,9499,4499499.5,3.541727569463954,4.939,0.0025625,3.820220606103097,3.541727569463954
4500,9500,4500499.5,3.511247918865472,4.907,0.002828125,3.509202970976297,3.511247918865472
4501,9501,4501499.5,3.5128402987902074,4.886,0.002859375,3.3319618161118987,3.5128402987902074
4502,9502,4502499.5,3.552074185231264,4.911,0.00303125,3.886491760842659,3.552074185231264
4503,9503,4503499.5,3.525945659449621,4.904,0.0026875,3.9222302037039287,3.525945659449621
4504,9504,4504499.5,3.503787534239697,4.931,0.00284375,3.3476678002415015,3.503787534239697
4505,9505,4505499.5,3.4989626552655633,4.929,0.002578125,3.1240959281811724,3.4989626552655633
4506,9506,4506499.5,3.478290582646847,4.95,0.00259375,2.7700149709227477,3.478290582646847
4507,9507,4507499.5,3.528563187049023,4.909,0.002890625,3.3984711259818305,3.528563187049023
4508,9508,4508499.5,3.507816810049688,4.939,0.002765625,3.3939870693440293,3.507816810049688
4509,9509,4509499.5,3.493849622884821,4.937,0.00275,3.5367312430196987,3.493849622884821
4510,9510,4510499.5,3.497430823223846,4.903,0.003171875,3.387487924832472,3.497430823223846
4511,9511,4511499.5,3.468179816308667,4.93,0.003375,2.8822809842024655,3.468179816308667
4512,9512,4512499.5,3.5438747339745196,4.923,0.0031875,3.900356365250842,3.5438747339745196
4513,9513,4513499.5,3.5462858581359264,4.936,0.002625,3.769404720035712,3.5462858581359264
4514,9514,4514499.5,3.543617015344892,4.89,0.0028125,4.04436391914632,3.543617015344892
4515,9515,4515499.5,3.5454189459227172,4.922,0.002515625,3.8877103618114064,3.5454189459227172
4516,9516,4516499.5,3.509111860809954,4.926,0.0030625,3.355256128490846,3.509111860809954
4517,9517,4517499.5,3.5620571183237923,4.92,0.002734375,3.9947107781888276,3.5620571183237923
4518,9518,4518499.5,3.502330020155977,4.944,0.002859375,3.027734030104492,3.502330020155977
4519,9519,4519499.5,3.508862484043471,4.964,0.00253125,3.286757308646309,3.508862484043471
4520,9520,4520499.5,3.489449723727991,4.908,0.002734375,3.188469446931103,3.489449723727991
4521,9521,4521499.5,3.5117075941009275,4.881,0.003109375,3.379406210612548,3.5117075941009275
4522,9522,4522499.5,3.548317853036813,4.94,0.00134375,3.9034215231470797,3.548317853036813
4523,9523,4523499.5,3.47715217061616,4.894,0.00134375,3.065033115914565,3.47715217061616
4524,9524,4524499.5,3.561473570285338,4.942,0.001453125,4.0248560940027,3.561473570285338
4525,9525,4525499.5,3.4861365880936046,4.9,0.001484375,3.030427909205629,3.4861365880936046
4526,9526,4526499.5,3.501318433821077,4.918,0.00128125,3.3799122610018144,3.501318433821077
4527,9527,4527499.5,3.527350363142705,4.888,0.001296875,3.6138939941270354,3.527350363142705
4528,9528,4528499.5,3.5781859835013488,4.932,0.00128125,4.284161721879794,3.5781859835013488
4529,9529,4529499.5,3.5591459756396686,4.916,0.001328125,3.851568866323905,3.5591459756396686
4530,9530,4530499.5,3.501601418740708,4.938,0.00125,3.16258112858822,3.501601418740708
4531,9531,4531499.5,3.5204798814934306,4.907,0.0013125,3.476977483676546,3.5204798814934306
4532,9532,4532499.5,3.529986220769406,4.925,0.001328125,3.89964787596317,3.529986220769406
4533,9533,4533499.5,3.471001464248491,4.926,0.00171875,2.858030648586104,3.471001464248491
4534,9534,4534499.5,3.5420057365637554,4.911,0.002734375,3.9105106862101886,3.5420057365637554
4535,9535,4535499.5,3.5094385112591286,4.911,0.002921875,3.2610505830764196,3.5094385112591286
4536,9536,4536499.5,3.532510505590675,4.92,0.002140625,3.7183750587734576,3.532510505590675
4537,9537,4537499.5,3.529080702844819,4.907,0.001515625,3.604526306080764,3.529080702844819
4538,9538,4538499.5,3.5448078192186,4.904,0.00125,4.014410583474368,3.5448078192186
4539,9539,4539499.5,3.4831410238549148,4.938,0.001265625,3.7878101047189205,3.4831410238549148
4540,9540,4540499.5,3.530422924878411,4.961,0.00134375,3.69803014620459,3.530422924878411
4541,9541,4541499.5,3.5160230100454704,4.904,0.00134375,3.5025624926834773,3.5160230100454704
4542,9542,4542499.5,3.5392500580641806,4.938,0.001359375,3.6426775066444947,3.5392500580641806
4543,9543,4543499.5,3.547998416434639,4.938,0.001375,3.5349013804314344,3.547998416434639
4544,9544,4544499.5,3.4932843660006667,4.928,0.001203125,3.3874268764171727,3.4932843660006667
4545,9545,4545499.5,3.4887117482785355,4.934,0.001296875,3.4126819973743885,3.4887117482785355
4546,9546,4546499.5,3.521927412556419,4.925,0.001234375,3.7625700416146812,3.521927412556419
4547,9547,4547499.5,3.5559418447908224,4.919,0.0026875,4.294263929028892,3.5559418447908224
4548,9548,4548499.5,3.5482182532297726,4.932,0.00296875,3.807752638985811,3.5482182532297726
4549,9549,4549499.5,3.5191619588257286,4.932,0.002859375,4.215412937615267,3.5191619588257286
4550,9550,4550499.5,3.534389869868566,4.911,0.002703125,3.9697777496616693,3.534389869868566
4551,9551,4551499.5,3.5584435710507702,4.908,0.002640625,4.549936411652951,3.5584435710507702
4552,9552,4552499.5,3.5233165641880224,4.907,0.0031875,3.648246850114755,3.5233165641880224
4553,9553,4553499.5,3.506145897714693,4.914,0.002671875,3.2960311978838037,3.506145897714693
4554,9554,4554499.5,3.5342558276393166,4.916,0.00290625,3.4956259228436917,3.5342558276393166
4555,9555,4555499.5,3.4467984119818715,4.911,0.002734375,2.597580137401792,3.4467984119818715
4556,9556,4556499.5,3.5529548347552997,4.907,0.002796875,4.077612147547855,3.5529548347552997
4557,9557,4557499.5,3.4979962068245563,4.925,0.002921875,3.3109019491249985,3.4979962068245563
4558,9558,4558499.5,3.580070805416324,4.925,0.002671875,4.234747167852038,3.580070805416324
4559,9559,4559499.5,3.5686945866033906,4.927,0.0026875,4.219220151694451,3.5686945866033906
4560,9560,4560499.5,3.5667840806118445,4.924,0.002734375,4.026786833931819,3.5667840806118445
4561,9561,4561499.5,3.527392770071063,4.917,0.00253125,3.6779431492802286,3.527392770071063
4562,9562,4562499.5,3.5074818384849307,4.894,0.00284375,3.333257726717473,3.5074818384849307
4563,9563,4563499.5,3.5370448829155166,4.925,0.002859375,4.043892961111827,3.5370448829155166
4564,9564,4564499.5,3.548263844137038,4.917,0.00265625,4.178098914288964,3.548263844137038
4565,9565,4565499.5,3.4770812251808154,4.931,0.002953125,2.7916750198748943,3.4770812251808154
4566,9566,4566499.5,3.5147246178527944,4.91,0.00253125,3.6500689585175117,3.5147246178527944
4567,9567,4567499.5,3.522754162525941,4.911,0.002703125,4.096429165099724,3.522754162525941
4568,9568,4568499.5,3.5223545478158482,4.909,0.0028125,3.5865317612344474,3.5223545478158482
4569,9569,4569499.5,3.4669642482946337,4.888,0.0029375,2.3636707602742923,3.4669642482946337
4570,9570,4570499.5,3.4759406370277235,4.902,0.002921875,2.9949099506456602,3.4759406370277235
4571,9571,4571499.5,3.5141586413164125,4.915,0.00259375,3.3689967821092797,3.5141586413164125
4572,9572,4572499.5,3.5153964127847046,4.905,0.002828125,3.6011699036177647,3.5153964127847046
4573,9573,4573499.5,3.5557250849395308,4.893,0.002609375,4.279021533779188,3.5557250849395308
4574,9574,4574499.5,3.5123647021297515,4.904,0.0028125,3.6181816627916907,3.5123647021297515
4575,9575,4575499.5,3.4710404672998845,4.95,0.002828125,2.9884975396053104,3.4710404672998845
4576,9576,4576499.5,3.482269177377781,4.925,0.002921875,3.642331093815001,3.482269177377781
4577,9577,4577499.5,3.4888764882421124,4.897,0.002921875,3.115694871478257,3.4888764882421124
4578,9578,4578499.5,3.487094571369382,4.918,0.002640625,3.1196051448699134,3.487094571369382
4579,9579,4579499.5,3.521342476620479,4.91,0.002765625,3.4387330257544586,3.521342476620479
4580,9580,4580499.5,3.514155869716214,4.902,0.00278125,3.6002138477570074,3.514155869716214
4581,9581,4581499.5,3.5748630480894112,4.923,0.002828125,4.06385523326712,3.5748630480894112
4582,9582,4582499.5,3.5189708828762942,4.929,0.00290625,3.338479250119809,3.5189708828762942
4583,9583,4583499.5,3.529851465486484,4.909,0.00275,3.515430396150246,3.529851465486484
4584,9584,4584499.5,3.527178429625353,4.919,0.00296875,3.854951941553077,3.527178429625353
4585,9585,4585499.5,3.518126784835566,4.909,0.00303125,3.837736942210324,3.518126784835566
4586,9586,4586499.5,3.5477573584347053,4.946,0.003125,4.201520030928533,3.5477573584347053
4587,9587,4587499.5,3.497746882750024,4.926,0.002828125,3.1885230171316934,3.497746882750024
4588,9588,4588499.5,3.5526393317832614,4.925,0.002671875,3.742424697583786,3.5526393317832614
4589,9589,4589499.5,3.5133981407935555,4.905,0.0026875,3.2757644736797964,3.5133981407935555
4590,9590,4590499.5,3.501373060970509,4.914,0.002796875,3.593683533835367,3.501373060970509
4591,9591,4591499.5,3.556295676661362,4.921,0.002875,3.9473531052050665,3.556295676661362
4592,9592,4592499.5,3.556340745711954,4.913,0.002734375,4.108607836966881,3.556340745711954
4593,9593,4593499.5,3.487652621261794,4.926,0.0035,3.1220469269113154,3.487652621261794
